MPIFFT_Gflops	MPIFFT_N	MPIFFT_maxErr	MPIFFT_Procs	MPIFFT_time4	MPIFFT_time5	MPIFFT_time6	MPIFFT_time0	MPIFFT_time1	MPIFFT_time2	MPIFFT_time3
18.3394	268435456	2.3666e-15	128	0.190856	0.656994	5.96046e-06	1.19209e-06	0.59851	0.11954	0.458389
17.2512	268435456	2.3666e-15	128	0.297746	0.629691	9.53674e-07	1.90735e-06	0.614067	0.134957	0.452715
18.8642	268435456	2.3666e-15	128	0.135393	0.646437	2.14577e-06	2.14577e-06	0.62473	0.0763252	0.500632
17.7044	268435456	2.3666e-15	128	0.244239	0.645473	4.05312e-06	9.53674e-07	0.608288	0.120843	0.459447
18.1391	268435456	2.3666e-15	128	0.268512	0.586029	4.05312e-06	1.90735e-06	0.596976	0.131559	0.447934
18.1424	268435456	2.3666e-15	128	0.210656	0.628531	2.14577e-06	3.09944e-06	0.609599	0.121612	0.458086
17.7556	268435456	2.3666e-15	128	0.324108	0.541901	2.14577e-06	9.53674e-07	0.611774	0.125758	0.457856
17.2811	268435456	2.3666e-15	128	0.361147	0.529004	1.09673e-05	9.53674e-07	0.614478	0.135083	0.458951
17.3973	268435456	2.3666e-15	128	0.276194	0.61701	1.19209e-06	1.19209e-06	0.621669	0.117437	0.46954
18.3781	268435456	2.3666e-15	128	0.296369	0.529925	6.91414e-06	1.90735e-06	0.592563	0.139961	0.437327
17.6452	268435456	2.3666e-15	128	0.132649	0.743236	5.96046e-06	9.53674e-07	0.639887	0.0554609	0.529619
17.8343	268435456	2.3666e-15	128	0.34172	0.521615	5.00679e-06	2.14577e-06	0.602754	0.125715	0.457572
17.7136	268435456	2.3666e-15	128	0.215021	0.69281	4.05312e-06	2.14577e-06	0.591365	0.130268	0.442776
18.0354	268435456	2.3666e-15	128	0.313401	0.530844	7.15256e-06	5.00679e-06	0.600149	0.139358	0.441992
17.634	268435456	2.3666e-15	128	0.338626	0.574043	9.53674e-07	9.53674e-07	0.618507	0.110054	0.473725
17.3572	268435456	2.3666e-15	128	0.368124	0.586193	9.53674e-07	1.19209e-06	0.606159	0.149662	0.434458
17.4856	268435456	2.3666e-15	128	0.289295	0.5989	9.53674e-07	9.53674e-07	0.621958	0.117748	0.456965
17.5537	268435456	2.3666e-15	128	0.365565	0.526665	1.19209e-06	2.86102e-06	0.602524	0.137896	0.437401
17.9166	268435456	2.3666e-15	128	0.259232	0.600307	4.05312e-06	2.14577e-06	0.605342	0.111584	0.47046
17.4102	268435456	2.3666e-15	128	0.303445	0.655561	2.14577e-06	2.86102e-06	0.602825	0.119423	0.4602
18.1629	268435456	2.3666e-15	128	0.232279	0.610907	4.05312e-06	9.53674e-07	0.597567	0.134188	0.444595
18.5488	268435456	2.3666e-15	128	0.18838	0.637289	4.05312e-06	2.86102e-06	0.602416	0.117773	0.453106
17.8717	268435456	2.3666e-15	128	0.341922	0.526053	1.19209e-06	1.19209e-06	0.599723	0.118556	0.458016
18.8193	268435456	2.3666e-15	128	0.15176	0.645371	1.90735e-06	0	0.601102	0.120751	0.456759
17.9159	268435456	2.3666e-15	128	0.260503	0.606437	5.00679e-06	9.53674e-07	0.610561	0.119207	0.456458
17.94	268435456	2.3666e-15	128	0.284437	0.608843	2.86102e-06	4.05312e-06	0.597457	0.123478	0.450987
17.5149	268435456	2.3666e-15	128	0.30477	0.633544	2.14577e-06	1.19209e-06	0.609941	0.125149	0.45619
18.4495	268435456	2.3666e-15	128	0.177266	0.652279	3.09944e-06	9.53674e-07	0.605281	0.117956	0.459194
18.1975	268435456	2.3666e-15	128	0.189966	0.631215	1.90735e-06	9.53674e-07	0.622876	0.108304	0.468359
17.6164	268435456	2.3666e-15	128	0.24226	0.642469	6.91414e-06	1.19209e-06	0.628816	0.095746	0.486149
18.5207	268435456	2.3666e-15	128	0.17084	0.656937	2.86102e-06	9.53674e-07	0.605347	0.110242	0.466394
17.647	268435456	2.3666e-15	128	0.322379	0.554532	5.96046e-06	9.53674e-07	0.607038	0.1285	0.453239
17.9404	268435456	2.3666e-15	128	0.221107	0.640161	3.8147e-06	1.90735e-06	0.598588	0.124695	0.456804
17.7909	268435456	2.3666e-15	128	0.200062	0.668801	3.8147e-06	9.53674e-07	0.622265	0.112973	0.468552
18.6851	268435456	2.3666e-15	128	0.14406	0.667324	9.53674e-07	9.53674e-07	0.606213	0.070904	0.508259
17.7961	268435456	2.3666e-15	128	0.289935	0.55236	6.19888e-06	9.53674e-07	0.609057	0.145629	0.438697
18.0445	268435456	2.3666e-15	128	0.269492	0.586735	0	1.90735e-06	0.61047	0.134054	0.448976
18.4349	268435456	2.3666e-15	128	0.139125	0.678461	2.14577e-06	9.53674e-07	0.623034	0.052284	0.527422
17.4044	268435456	2.3666e-15	128	0.339158	0.605141	9.53674e-07	9.53674e-07	0.606436	0.130344	0.456889
18.5935	268435456	2.3666e-15	128	0.191463	0.620396	9.53674e-07	3.8147e-06	0.599788	0.117412	0.466122
17.6421	268435456	2.3666e-15	128	0.264039	0.640639	7.15256e-06	2.14577e-06	0.606941	0.134058	0.445035
17.3519	268435456	2.3666e-15	128	0.313541	0.583912	3.8147e-06	9.53674e-07	0.611752	0.137522	0.442019
17.9808	268435456	2.3666e-15	128	0.256412	0.595222	7.15256e-06	3.09944e-06	0.594196	0.122546	0.458161
18.4455	268435456	2.3666e-15	128	0.165709	0.653642	5.00679e-06	1.90735e-06	0.611613	0.111949	0.475089
