MPIFFT_Gflops	MPIFFT_N	MPIFFT_maxErr	MPIFFT_Procs	MPIFFT_time4	MPIFFT_time5	MPIFFT_time6	MPIFFT_time0	MPIFFT_time1	MPIFFT_time2	MPIFFT_time3
18.3672	268435456	2.3666e-15	128	0.208966	0.602131	1.19209e-06	9.53674e-07	0.61397	0.101015	0.476577
18.0626	268435456	2.3666e-15	128	0.133351	0.762654	1.90735e-06	0	0.5937	0.0640211	0.519178
18.5082	268435456	2.3666e-15	128	0.169624	0.674885	2.14577e-06	1.90735e-06	0.591114	0.11603	0.46405
18.1375	268435456	2.3666e-15	128	0.279304	0.568051	9.53674e-07	9.53674e-07	0.593587	0.124724	0.453873
18.4416	268435456	2.3666e-15	128	0.131817	0.703531	1.90735e-06	9.53674e-07	0.605146	0.0536911	0.528669
18.0024	268435456	2.3666e-15	128	0.313925	0.520481	3.8147e-06	9.53674e-07	0.608124	0.130058	0.452842
17.7048	268435456	2.3666e-15	128	0.351923	0.520032	9.53674e-07	9.53674e-07	0.606494	0.127845	0.448865
18.0327	268435456	2.3666e-15	128	0.280184	0.576935	5.96046e-06	9.53674e-07	0.59172	0.134207	0.440426
17.8009	268435456	2.3666e-15	128	0.363107	0.499684	2.86102e-06	2.14577e-06	0.605039	0.127023	0.456581
17.7581	268435456	2.3666e-15	128	0.289439	0.603273	3.09944e-06	1.19209e-06	0.597128	0.137757	0.443738
18.4387	268435456	2.3666e-15	128	0.180598	0.62576	5.96046e-06	2.86102e-06	0.615465	0.084908	0.496072
18.7579	268435456	2.3666e-15	128	0.155639	0.646372	0	1.90735e-06	0.596448	0.0600572	0.516554
18.8286	268435456	2.3666e-15	128	0.149477	0.652791	9.53674e-07	9.53674e-07	0.599206	0.133221	0.448422
18.4792	268435456	2.3666e-15	128	0.209011	0.590815	4.05312e-06	9.53674e-07	0.608935	0.090486	0.487015
18.8069	268435456	2.3666e-15	128	0.134261	0.676275	5.00679e-06	0	0.601224	0.110272	0.461197
18.8343	268435456	2.3666e-15	128	0.143415	0.652324	9.53674e-07	9.53674e-07	0.59773	0.119151	0.461229
19.127	268435456	2.3666e-15	128	0.148253	0.633454	2.14577e-06	4.05312e-06	0.59424	0.11038	0.461926
18.1275	268435456	2.3666e-15	128	0.258104	0.585817	5.00679e-06	9.53674e-07	0.605318	0.130415	0.443466
19.0503	268435456	2.3666e-15	128	0.167929	0.608347	3.8147e-06	9.53674e-07	0.591663	0.066932	0.50592
18.9284	268435456	2.3666e-15	128	0.161719	0.629596	2.14577e-06	9.53674e-07	0.600745	0.117467	0.463427
16.9117	268435456	2.3666e-15	128	0.405942	0.545249	9.53674e-07	9.53674e-07	0.609079	0.126866	0.455027
17.5264	268435456	2.3666e-15	128	0.186998	0.739049	9.53674e-07	1.19209e-06	0.613248	0.103894	0.479676
18.9018	268435456	2.3666e-15	128	0.14694	0.647752	3.09944e-06	9.53674e-07	0.613668	0.0542459	0.517951
18.0439	268435456	2.3666e-15	128	0.213805	0.631428	3.09944e-06	2.14577e-06	0.618134	0.0924408	0.486241
